,id,title,abstract,keyphrases,prmu,true,preds
10,1291,Taking back control [SCADA system],"most common way to implement a scada system is to go outside. however, in the author's opinion, to truly take control of a scada project, in-house personnel should handle as much of the job as possible. this includes design, equipment specification, installation, and programming. the more of these tasks one does in-house, the more control and ownership one has. to accomplish this, we first evaluated the existing scada system and investigated new technologies to establish a list of features the new system needed to incorporate","['scada', 'supervisory control', 'data acquisition', 'in-house integration', 'compatibility', 'programmable logic controllers']","['P', 'M', 'U', 'M', 'U', 'M']","['scada', 'supervisory control', 'datum acquisition', 'in - house integration', 'compatibility', 'programmable logic controller']","['exist scada system', 'scada system', 'scada project', 'equipment specification', 'house personnel', 'new system need', 'take control', 'investigate new technology', 'control', 'include design']"
11,1229,Dot-Net makes slow progress,"microsoft's windows .net enterprise server release candidate i, which was released at the end of last month, provides an early glimpse of the system that will eventually replace windows 200 advanced server. the software has been improved so that active directory is more flexible and easier to deploy; and security, scalability and management have also been enhanced","['windows .net enterprise server', 'active directory', 'security', 'scalability']","['P', 'P', 'P', 'P']","['window .net enterprise server', 'active directory', 'security', 'scalability']","['enterprise server release candidate', 'advanced server', 'microsoft', 'replace window', 'software', 'active directory', 'last month', 'release', 'deploy', 'improve']"
12,639,Distributed servers approach for large-scale secure multicast,"in order to offer backward and forward secrecy for multicast applications (i.e., a new member cannot decrypt the multicast data sent before its joining and a former member cannot decrypt the data sent after its leaving), the data encryption key has to be changed whenever a user joins or leaves the system. such a change has to be made known to all the current users. the bandwidth used for such re-key messaging can be high when the user pool is large. we propose a distributed servers approach to minimize the overall system bandwidth (and complexity) by splitting the user pool into multiple groups each served by a (logical) server. after presenting an analytic model for the system based on a hierarchical key tree, we show that there is an optimal number of servers to achieve minimum system bandwidth. as the underlying user traffic fluctuates, we propose a simple dynamic scheme with low overhead where a physical server adaptively splits and merges its traffic into multiple groups each served by a logical server so as to minimize its total bandwidth. our results show that a distributed servers approach is able to substantially reduce the total bandwidth required as compared with the traditional single-server approach, especially for those applications with a large user pool, short holding time, and relatively low bandwidth of a data stream, as in the internet stock quote applications","['distributed servers', 'large-scale secure multicast', 'forward secrecy', 'multicast applications', 'data encryption key', 're-key messaging', 'system bandwidth', 'hierarchical key tree', 'user traffic', 'short holding time', 'internet stock quote applications', 'backward secrecy', 'system complexity', 'traffic merging', 'dynamic split-and-merge scheme', 'key management']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'R', 'R', 'R', 'M', 'M']","['distribute server', 'large - scale secure multicast', 'forward secrecy', 'multicast application', 'datum encryption key', 're - key messaging', 'system bandwidth', 'hierarchical key tree', 'user traffic', 'short holding time', 'internet stock quote application', 'backward secrecy', 'system complexity', 'traffic merging', 'dynamic split - and - merge scheme', 'key management']","['distribute server approach', 'datum encryption key have', 'achieve minimum system bandwidth', 'multicast application', 'multicast datum', 'overall system bandwidth', 'forward secrecy', 'total bandwidth require', 'server approach', 'low bandwidth']"
13,114,Cooperative three- and four-player quantum games,a cooperative multi-player quantum game played by 3 and 4 players has been studied. a quantum superposed operator is introduced in this work which solves the non-zero sum difficulty in previous treatments. the role of quantum entanglement of the initial state is discussed in detail,"['quantum superposed operator', 'quantum entanglement', 'initial state', 'cooperative three-player quantum games', 'cooperative four-player quantum games', 'nonzero sum difficulty']","['P', 'P', 'P', 'M', 'R', 'M']","['quantum superpose operator', 'quantum entanglement', 'initial state', 'cooperative three - player quantum game', 'cooperative four - player quantum game', 'nonzero sum difficulty']","['player quantum game play', 'quantum entanglement', 'quantum superpose operator', 'sum difficulty', 'initial state', 'player', 'solve', 'non', 'role', 'previous treatment']"
14,957,A Blog in every law firm?,"you don't know today what you'll want to know next year. rather than trying to solve that problem, focus on providing simple tools to users that create valuable content across the firm. individual contributions will be more visible, and you will have a searchable archive of your institutional memory and a simplified process for ensuring everyone is up to speed. whether you embrace weblogs for their individual or institutional benefits, one thing is certain: they will become powerful tools for those who seek ways to more efficiently and intelligently manage information","['law firm', 'institutional memory', 'weblogs', 'web site']","['P', 'P', 'P', 'U']","['law firm', 'institutional memory', 'weblog', 'web site']","['embrace weblog', 'institutional memory', 'institutional benefit', 'create valuable content', 'searchable archive', 'provide simple tool', 'individual contribution', 'become powerful tool', 'know next year', 'ensure']"
15,912,Grey-box model identification via evolutionary computing,"this paper presents an evolutionary grey-box model identification methodology that makes the best use of a priori knowledge on a clear-box model with a global structural representation of the physical system under study, whilst incorporating accurate blackbox models for immeasurable and local nonlinearities of a practical system. the evolutionary technique is applied to building dominant structural identification with local parametric tuning without the need of a differentiable performance index in the presence of noisy data. it is shown that the evolutionary technique provides an excellent fitting performance and is capable of accommodating multiple objectives such as to examine the relationships between model complexity and fitting accuracy during the model building process. validation results show that the proposed method offers robust, uncluttered and accurate models for two practical systems. it is expected that this type of grey-box models will accommodate many practical engineering systems for a better modelling accuracy","['grey-box models', 'system identification', 'evolutionary algorithms', 'genetic evolution', 'multiobjective optimisation', 'hydraulic system', 'nonlinear system']","['P', 'R', 'M', 'U', 'U', 'M', 'R']","['grey - box model', 'system identification', 'evolutionary algorithm', 'genetic evolution', 'multiobjective optimisation', 'hydraulic system', 'nonlinear system']","['box model identification methodology', 'incorporate accurate blackbox model', 'accommodate many practical engineering system', 'model building process', 'model complexity', 'structural identification', 'evolutionary grey', 'box model', 'box model', 'accurate model']"
16,580,A genetic approach to the optimization of automatic generation control parameters for power systems,"this paper presents a method based on genetic algorithm for the automatic generation control of power systems. the technique is applied to control a system, which includes two areas tied together through a power line. as a consequence of continuous load variation, the frequency of the power system changes with time. in conventional studies, frequency transients are minimized by using integral controllers and thus zero steady-state error is obtained. in this paper, integral controller gains and frequency bias factors are determined by using the genetic algorithm. the results of simulation reveal the application of the genetic algorithm having easy implementation to find the global optimum values of the control parameters","['genetic algorithm', 'power line', 'continuous load variation', 'frequency transients', 'integral controller gains', 'frequency bias factors', 'power systems automatic generation control parameters optimization', 'control design', 'interconnected power networks', 'control simulation']","['P', 'P', 'P', 'P', 'P', 'P', 'R', 'M', 'M', 'R']","['genetic algorithm', 'power line', 'continuous load variation', 'frequency transient', 'integral controller gain', 'frequency bias factor', 'power system automatic generation control parameter optimization', 'control design', 'interconnect power network', 'control simulation']","['automatic generation control', 'genetic algorithm', 'frequency transient', 'integral controller gain', 'integral controller', 'frequency', 'global optimum', 'power line', 'control', 'power system']"
17,1190,Buying into the relationship [business software],"choosing the right software to improve business processes can have a huge impact on a company's efficiency and profitability. while it is sometimes hard to get beyond vendor hype about software features and functionality and know what to realistically expect, it is even more difficult to determine if the vendor is the right vendor to partner with. thus picking the right software is important, but companies have to realize that what they are really buying into is a relationship with the vendor","['business software', 'functionality', 'vendor relationship', 'management', 'software evaluation']","['P', 'P', 'R', 'U', 'M']","['business software', 'functionality', 'vendor relationship', 'management', 'software evaluation']","['software feature', 'improve business process', 'right software', 'right vendor', 'vendor hype', 'vendor', 'company have', 'partner', 'company', 'choose']"
18,1214,Multi-agent collaboration for B2B workflow monitoring,"business-to-business (b2b) application environments are exceedingly dynamic and competitive. this dynamism is manifested in the form of changing process requirements and time constraints. however, current workflow management technologies have difficulties trying to solve problems, such as: how to deal with the dynamic nature of b2b commerce processes, how to manage the distributed knowledge and recourses, and how to reduce the transaction risk. in this paper, a collaborative multi-agent system is proposed. multiple intelligent agents in our system can work together not only to identify the workflow problems, but also to solve such problems, by applying business rules, such as re-organizing the procurement and the transaction processes, and making necessary workflow process changes","['multi-agent collaboration', 'b2b workflow monitoring', 'changing process requirements', 'time constraints', 'workflow management', 'transaction risk', 'business rules', 'internet', 'business-to-business applications', 'electronic commerce']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'U', 'R', 'M']","['multi - agent collaboration', 'b2b workflow monitor', 'change process requirement', 'time constraint', 'workflow management', 'transaction risk', 'business rule', 'internet', 'business - to - business application', 'electronic commerce']","['workflow management technology', 'b2b commerce process', 'multiple intelligent agent', 'workflow problem', 'transaction process', 'collaborative multi', 'business rule', 'change process requirement', 'distribute knowledge', 'application environment']"
19,1251,A synergic analysis for Web-based enterprise resources planning systems,"as the central nervous system for managing an organization's mission and critical business data, enterprise resource planning (erp) system has evolved to become the backbone of e-business implementation. since an erp system is multimodule application software that helps a company manage its important business functions, it should be versatile enough to automate every aspect of business processes, including e-business","['synergic analysis', 'web-based enterprise resources planning', 'enterprise resource planning', 'erp', 'e-business', 'customer relationship management']","['P', 'P', 'P', 'P', 'P', 'M']","['synergic analysis', 'web - base enterprise resource plan', 'enterprise resource planning', 'erp', 'e - business', 'customer relationship management']","['enterprise resource planning', 'erp system', 'multimodule application software', 'business process', 'business implementation', 'business datum', 'important business function', 'company manage', 'automate', 'manage']"
20,604,SRP rolls out reliability and asset management initiative,"reliability planning analysis at the salt river project (srp, tempe, arizona, us) prioritizes geographic areas for preventive inspections based on a cost benefit model. however, srp wanted a new application system to prioritize inspections and to predict when direct buried cable would fail using the same cost benefit model. in the business cases, the represented type of kilowatt load-residential, commercial or critical circuit-determines the cost benefit per circuit. the preferred solution was to develop a geographical information system (gis) application allowing for a circuit query for the specific geographic areas it crosses and the density of load points of a given type within those areas. the query returns results based on the type of equipment analysis execution: wood pole, preventive maintenance for a line or cable replacement. this differentiation insures that all the facilities relevant to a specific analysis type influence prioritization of the geographic areas","['reliability planning analysis', 'salt river project', 'tempe', 'arizona', 'geographic areas', 'preventive inspections', 'cost benefit model', 'direct buried cable', 'geographical information system', 'gis', 'equipment analysis execution', 'wood pole', 'cable replacement', 'usa', 'condition monitoring']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'U', 'U']","['reliability planning analysis', 'salt river project', 'tempe', 'arizona', 'geographic area', 'preventive inspection', 'cost benefit model', 'direct bury cable', 'geographical information system', 'gi', 'equipment analysis execution', 'wood pole', 'cable replacement', 'usa', 'condition monitoring']","['prioritize geographic area', 'reliability planning analysis', 'specific geographic area', 'prioritize inspection', 'geographical information system', 'preventive inspection base', 'equipment analysis execution', 'same cost benefit model', 'preventive maintenance', 'cost benefit model']"
21,641,Multiecho segmented EPI with z-shimmed background gradient compensation (MESBAC) pulse sequence for fMRI,"a multiecho segmented epi with z-shimmed background gradient compensation (mesbac) pulse sequence is proposed and validated for functional mri (fmri) study in regions suffering from severe susceptibility artifacts. this sequence provides an effective tradeoff between spatial and temporal resolution and reduces image distortion and signal dropout. the blood oxygenation level-dependent (bold)-weighted fmri signal can be reliably obtained in the region of the orbitofrontal cortex (ofc). to overcome physiological motion artifacts during prolonged multisegment epi acquisition, two sets of navigator echoes were acquired in both the readout and phase-encoding directions. ghost artifacts generally produced by single-shot epi acquisition were eliminated by separately placing the even and odd echoes in different k-space trajectories. unlike most z-shim methods that focus on increasing temporal resolution for event-related functional brain mapping, the mesbac sequence simultaneously addresses problems of image distortion and signal dropout while maintaining sufficient temporal resolution. the mesbac sequence will be particularly useful for pharmacological and affective fmri studies in brain regions such as the ofc, nucleus accumbens, amygdala, para-hippocampus, etc","['multiecho segmented epi', 'z-shimmed background gradient compensation', 'fmri', 'severe susceptibility artifacts', 'temporal resolution', 'image distortion', 'signal dropout', 'orbitofrontal cortex', 'navigator echoes', 'ghost artifacts', 'event-related functional brain mapping', 'gradient compensation pulse sequence', 'bold-weighted signal', 'spatial resolution']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'R', 'M', 'R']","['multiecho segment epi', 'z - shim background gradient compensation', 'fmri', 'severe susceptibility artifact', 'temporal resolution', 'image distortion', 'signal dropout', 'orbitofrontal cortex', 'navigator echo', 'ghost artifact', 'event - relate functional brain mapping', 'gradient compensation pulse sequence', 'bold - weight signal', 'spatial resolution']","['fmri signal', 'functional brain mapping', 'prolong multisegment epi acquisition', 'functional mri', 'fmri study', 'fmri', 'navigator echo', 'brain region', 'orbitofrontal cortex', 'multiecho segment epi']"
22,129,Phase conditions for Schur polynomials,"the rate of change of phase of a real or complex schur polynomial, evaluated along the unit circle traversed counterclockwise, is strictly positive. for polynomials with real coefficients, this bound can be tightened. these and some other fundamental bounds on the rate of change of phase are derived here, using the tchebyshev representation of the image of a real polynomial evaluated on the unit circle","['phase conditions', 'schur polynomial', 'rate of change of phase', 'real coefficients', 'tchebyshev representation', 'phase monotonicity', 'robust stability', 'discrete-time control systems', 'stabilization']","['P', 'P', 'P', 'P', 'P', 'M', 'U', 'U', 'U']","['phase condition', 'schur polynomial', 'rate of change of phase', 'real coefficient', 'tchebyshev representation', 'phase monotonicity', 'robust stability', 'discrete - time control system', 'stabilization']","['complex schur polynomial', 'real polynomial evaluate', 'unit circle traverse counterclockwise', 'polynomial', 'tchebyshev representation', 'phase', 'real coefficient', 'other fundamental bound', 'bind', 'positive']"
23,1115,Four-point wavelets and their applications,"multiresolution analysis (mra) and wavelets provide useful and efficient tools for representing functions at multiple levels of details. wavelet representations have been used in a broad range of applications, including image compression, physical simulation and numerical analysis. in this paper, the authors construct a new class of wavelets, called four-point wavelets, based on an interpolatory four-point subdivision scheme. they are of local support, symmetric and stable. the analysis and synthesis algorithms have linear time complexity. depending on different weight parameters w, the scaling functions and wavelets generated by the four-point subdivision scheme are of different degrees of smoothness. therefore the user can select better wavelets relevant to the practice among the classes of wavelets. the authors apply the four-point wavelets in signal compression. the results show that the four-point wavelets behave much better than b-spline wavelets in many situations","['four-point wavelets', 'multiresolution analysis', 'wavelet representations', 'image compression', 'physical simulation', 'numerical analysis', 'interpolatory four-point subdivision scheme', 'linear time complexity', 'weight parameters', 'scaling functions', 'b-spline wavelets']","['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['four - point wavelet', 'multiresolution analysis', 'wavelet representation', 'image compression', 'physical simulation', 'numerical analysis', 'interpolatory four - point subdivision scheme', 'linear time complexity', 'weight parameter', 'scale function', 'b - spline wavelet']","['spline wavelet', 'point wavelet', 'wavelet provide useful', 'wavelet relevant', 'wavelet generate', 'wavelet representation', 'multiresolution analysis', 'wavelet', 'synthesis algorithm have linear time complexity', 'signal compression']"
